id,Vendor_id,Vendor_Name,Item_Name,Item_id,Grossweight,Mtrs,Corewt,Rollno,Created_By,Created_Dt,Invoice_No,Invoice_By,Invoice_Dt,Rate,Updated_By,Updated_Dt,Confirm_Rate,Confirm_By,Confirm_Dt,Sales_Confirm,Sales_Confirm_By,Sales_Confirm_Dt,Freight,Billed,Billed_Id,Billed_By,Billed_Dt,Freight_val,Unit,Order_id,Moveto,BillingNumber,TruckNumber,Anex_Confirm,Audit,Audit_By,Audit_Dt,Payment_App,Payment_App_By,Payment_App_Dt,BillingAmount,Audit_Verified,Audit_Verified_By,Audit_Verified_Dt,Weight_Verified,Weight_Verified_By,Weight_Verified_Dt
528111,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,149.8,1850,1.5,1101,UNIT3,20-03-2018 12:54,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528112,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,170,2095,1.8,295,UNIT3,20-03-2018 12:55,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528113,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,162.7,2000,1.6,44,UNIT3,20-03-2018 12:55,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528114,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,119.3,1500,1.5,297,UNIT3,20-03-2018 12:56,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528115,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,159.9,1965,1.8,290,UNIT3,20-03-2018 12:56,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528116,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,124,1505,1.7,1014,UNIT3,20-03-2018 12:56,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528117,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,162.45,2000,1.6,46,UNIT3,20-03-2018 12:57,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528118,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,150.9,1850,1.5,1102,UNIT3,20-03-2018 12:57,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528119,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,161.85,1970,1.6,146,UNIT3,20-03-2018 12:58,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528120,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,155.6,1875,1.7,1781,UNIT3,20-03-2018 12:58,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
