id,Vendor_id,Vendor_Name,Item_Name,Item_id,Grossweight,Mtrs,Corewt,Rollno,Created_By,Created_Dt,Invoice_No,Invoice_By,Invoice_Dt,Rate,Updated_By,Updated_Dt,Confirm_Rate,Confirm_By,Confirm_Dt,Sales_Confirm,Sales_Confirm_By,Sales_Confirm_Dt,Freight,Billed,Billed_Id,Billed_By,Billed_Dt,Freight_val,O_Invoice_no,O_Bill_date,O_Mtrs_rate,Mtrsrate,Unit,Order_id,Moveto,BillingNumber,TruckNumber,Received,State,Anex_Confirm,Anex_Confirm_By,Anex_Confirm_Dt,BUnit,VehicleNo_By,VehicleNo_Dt,VehicleNo_ID,VehicleNo,Payment_By,Payment_Dt,Payment,Audit,Audit_By,Audit_Dt,Payment_App,Payment_App_By,Payment_App_Dt,Loading,Loading_By,Loading_Dt,BillingAmount,Audit_Verified,Audit_Verified_By,Audit_Verified_Dt,Weight_Verified,Weight_Verified_By,Weight_Verified_Dt,CVendor_id,CChanged_By,CChanged_Dt
528111,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0149.80,1850,1.5,1101,UNIT3,"2018-03-20 12:54:56",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528112,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0170.00,2095,1.8,295,UNIT3,"2018-03-20 12:55:21",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528113,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0162.70,2000,1.6,44,UNIT3,"2018-03-20 12:55:43",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528114,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0119.30,1500,1.5,297,UNIT3,"2018-03-20 12:56:08",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528115,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0159.90,1965,1.8,290,UNIT3,"2018-03-20 12:56:32",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528116,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0124.00,1505,1.7,1014,UNIT3,"2018-03-20 12:56:50",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528117,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0162.45,2000,1.6,46,UNIT3,"2018-03-20 12:57:10",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528118,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0150.90,1850,1.5,1102,UNIT3,"2018-03-20 12:57:33",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528119,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0161.85,1970,1.6,146,UNIT3,"2018-03-20 12:58:01",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
528120,1005,"SHANTHALA ENTERPRISES","17 HD W BASIC DSS L",3089,0155.60,1875,1.7,1781,UNIT3,"2018-03-20 12:58:20",18339,NULL,"2018-03-21 11:47:23",105.75,NULL,NULL,Y,murali,"2018-03-28 10:27:18",Y,murali,"2018-03-28 10:15:27",NULL,Y,5278,sangmesh,"2018-03-29 12:05:52",0.00,NULL,NULL,NULL,NULL,3,12388,3,III02041,KA11A4791,NULL,NULL,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,venkatesh,"2018-03-28 10:38:44",Y,balu,"2018-03-28 14:14:31",NULL,NULL,NULL,578463.14,Y,venkatesh,"2018-03-29 12:19:54",Y,prakash,"2018-03-31 13:21:08",NULL,NULL,NULL
